"variable","lower","median","upper","distribution","unit","description","source","Remarks","X"
"n_years",30,NA,30,"const","","Number of years over which the effects of the AF intervention will be assessed","","assumed to ensure maturity of apple trees",""
"var_cv",5,NA,10,"posnorm","%","Coefficient of variation (ratio of standard deviation to the means relative variability)","","",""
"discount_rate",1.8,NA,5,"posnorm","% per year","To calculate the present value of future cash flows [%]","","assumed",""
"arable_area_treeless",7.87,NA,7.87,"const","ha","Size of the farm [ha]","QGIS calculations","",""
"tree_row_area",0.57,NA,0.57,"const","ha","Total area of tree rows (wooded area) in AF system [ha]","F.Ganswind (2024)","",""
"streuobst_area",0.7,NA,0.7,"const","ha","Total area of tree rows in streuobst [ha]","QGIS calculations","",""
"hedge_row_area",0.14,NA,0.14,"const","ha","Total area of hedges [ha]","F.Ganswind (2024)","",""
"farmer_planning_time",100,NA,300,"posnorm","hours","Time spent discussing goals with consultants + planning AF system + other planning work done by farmer [h]","","",""
"planning_consulting",800,NA,6000,"posnorm","€","Total payment of hired planner/consultant [€]","","",""
"labour_cost",12,17,20,"posnorm","€","Cost of labour [€/h]","https://www.stepstone.de/gehalt/Landwirt-in.html","",""
"dig_planting_holes",0.09,NA,0.13,"posnorm","h/tree","Labour hours of preparing planting holes [h/tree]","","",""
"planting_trees_alley",0.3,NA,1,"posnorm","h/tree","Labour hours of planting trees in the alley cropping system[h/tree]","","Values adapted from information about planting standard sized apple trees",""
"planting_raspberry",0.02,NA,0.2,"posnorm","h/shrub","","","PRELIMINERY VALUE with no evidence",""
"planting_trees_streuobstwiese",1,NA,3.5,"posnorm","h/tree","Labour hours of planting trees in the streuobstwiese[h/tree]","https://www.obstbaumschnittschule.de/handlungsuebersicht-obstbaumpflege/","",""
"planting_trees_hedge",0.02,NA,0.2,"posnorm","h/tree","Labour hours of planting trees in the hedge[h/tree]","","PRELIMINERY VALUE with no evidence",""
"compost_planting",10,NA,20,"posnorm","l/tree","Amount of compost applied after planting trees (l/tree)","Grosse-Kleimann (2024)","",""
"compost_price",0.1,NA,0.25,"posnorm","€/l","Price of compost per l","Grosse-Kleimann (2024)","Price adjusted from information given by Jan Grosse-Kleimann (plus minus 20%)",""
"weed_protection",1,NA,2,"posnorm","€/tree","Cost of weed protection used during field prep (€/tree)","https://w.grube.de/p/plantagard-holzfaser-mulchplatte/P73-062/?articleNo=73-062&em_src=kw&em_cmp=google/shopping&gad_source=1&gclid=Cj0KCQiA2eKtBhDcARIsAEGTG42TFq3lzqhmA7rae3T9S4-3_bUiMDJQljxibyZeTVf94Xna7tWu3KcaAjC_EALw_wcB#itemId=73-064","",""
"maize_yield",5.4,10.4,13.7,"posnorm","t/ha","Maize Yield (t)","https://www.landesdatenbank.nrw.de/ldbnrw//online?operation=table&code=41241-03d&bypass=true&levelindex=0&levelid=1708003551353#abreadcrumb","Calculated min max and median from yield data from Kreis Steinfurt Kreis Coesfeld Kreis Borken and Münster for 1999-2022",""
"maize_management",1234,NA,1850,"posnorm","€/ha/yr","Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost","https://bsv-saaten.de/saatgut-landwirtschaft-1/mais/frueh-2.html  KTBL Leistungs-Kostenrechnung Pflanzenbau Mais (CCM)   https://llg.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/MLU/LLFG/Dokumente/04_themen/betriebswirtschaft/prozesskosten/bw_prozess_16.pdf§ S.18","",""
"maize_labour",7.4,9.3,12.7,"posnorm","h/ha/yr","Labour hours required for managing one ha of maize","KTBL Leistungs-Kostenrechnung Pflanzenbau Mais (CCM)  https://llg.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/MLU/LLFG/Dokumente/04_themen/betriebswirtschaft/prozesskosten/bw_prozess_16.pdf§ S.18","",""
"maize_value",131,175.4,305.6,"posnorm","€/t","Price of maize (€/t)","https://de.statista.com/statistik/daten/studie/457619/umfrage/verkaufspreis-von-mais-in-deutschland/#statisticContainer","Calculated min max and median from price data available on statista  prices from 1995/1996 - 2020/2021",""
"wheat_yield",6,8.1,9.7,"posnorm","t/ha","Wheat Yield","https://www.landesdatenbank.nrw.de/ldbnrw/online?operation=previous&levelindex=2&step=2&titel=Ergebnis&levelid=1706702870616&acceptscookies=false#abreadcrumb","Calculated min max and median from yield data from Kreis Steinfurt Kreis Coesfeld Kreis Borken and Münster for 1999-2022",""
"wheat_management",1070,NA,1606,"posnorm","€/ha/yr","Cost of seed"," fertiliser"," pesticide"," insurance"
"wheat_labour",3.45,4.6,6.75,"posnorm","h/ha/yr","","","",""
"wheat_value",126,175.65,310,"posnorm","€/t","Price of Wheat","https://de.statista.com/statistik/daten/studie/182308/umfrage/verkaufspreise-fuer-weizen-in-deutschland/","Calculated min§ max and median from price data available on statista  prices from 1995/1996 - 2020/2021",""
"barley_yield",4.5,6.8,9,"posnorm","t/ha","Barley Yield","https://www.landesdatenbank.nrw.de/ldbnrw/online?operation=previous&levelindex=2&step=2&titel=Ergebnis&levelid=1706702870616&acceptscookies=false#abreadcrumb","",""
"barley_management",995.65,NA,1495,"posnorm","€/ha/yr","Cost of seed, fertiliser, pesticide, insurance, fixed+variable machine cost","","",""
"barley_labour",3.1,4.4,6.13,"posnorm","h/ha/yr","","","",""
"barley_value",114,157.3,279.1,"posnorm","€/t","Cost of barley","","",""
